time,x,y,theta
0,0,0,0
1,0.499167,-0.0249791,-0.1
2,0.993753,-0.0972011,-0.19
3,1.48046,-0.21116,-0.27
4,1.95728,-0.361275,-0.34
5,2.42338,-0.542056,-0.4
6,2.87885,-0.748195,-0.45
7,3.3246,-0.974623,-0.49
8,3.76217,-1.21652,-0.52
9,4.19357,-1.46928,-0.54
10,4.62113,-1.72849,-0.55
11,5.04739,-1.98983,-0.55
12,5.47496,-2.24904,-0.54
13,5.90635,-2.5018,-0.52
14,6.34392,-2.7437,-0.49
15,6.78968,-2.97012,-0.45
16,7.24515,-3.17626,-0.4
17,7.71124,-3.35704,-0.34
18,8.18807,-3.50716,-0.27
19,8.67477,-3.62112,-0.19
20,9.16936,-3.69334,-0.1
21,9.66853,-3.71832,-3.72529e-08
22,10.1675,-3.69085,0.11
23,10.66,-3.60631,0.23
24,11.1381,-3.46104,0.36
25,11.5922,-3.25277,0.5
26,12.0114,-2.98111,0.65
27,12.3836,-2.64803,0.81
28,12.696,-2.2584,0.98
29,12.9357,-1.82039,1.16
30,13.0908,-1.34583,1.35
31,13.2245,-0.86425,1.25
32,13.4032,-0.397487,1.16
33,13.621,0.052443,1.08
34,13.8719,0.484817,1.01
35,14.1504,0.900004,0.95
36,14.4513,1.29927,0.9
37,14.7698,1.68462,0.86
38,15.1017,2.05859,0.83
39,15.4428,2.42416,0.81
40,15.7893,2.78457,0.8
41,16.1377,3.14325,0.8
42,16.4842,3.50366,0.81
43,16.8254,3.86923,0.83
44,17.1572,4.2432,0.86
45,17.4758,4.62854,0.9
46,17.7766,5.02781,0.95
47,18.0551,5.443,1.01
48,18.306,5.87537,1.08
49,18.5238,6.3253,1.16
50,18.7026,6.79207,1.25
51,18.8363,7.27365,1.35
52,18.9188,7.76654,1.46
53,18.9441,8.2656,1.58
54,18.9071,8.76387,1.71
55,18.8033,9.25257,1.85
56,18.6301,9.72109,2
57,18.3866,10.1572,2.16
58,18.0748,10.5473,2.33
59,17.7,10.8772,2.51
60,17.2709,11.1324,2.7
61,16.8303,11.3683,2.6
62,16.414,11.645,2.51
63,16.0227,11.956,2.43
64,15.6558,12.2955,2.36
65,15.3116,12.6581,2.3
66,14.988,13.0392,2.25
67,14.6817,13.4344,2.21
68,14.3895,13.8401,2.18
69,14.1075,14.253,2.16
70,13.8318,14.67,2.15
71,13.5581,15.0885,2.15
72,13.2823,15.5056,2.16
73,13.0003,15.9184,2.18
74,12.7081,16.3241,2.21
75,12.4019,16.7194,2.25
76,12.0782,17.1004,2.3
77,11.7341,17.463,2.36
78,11.3672,17.8025,2.43
79,10.9759,18.1136,2.51
80,10.5596,18.3902,2.6
81,10.119,18.6261,2.7
82,9.6561,18.8146,2.81
83,9.17472,18.9486,2.93
84,8.68043,19.0216,3.06
85,8.18087,19.0274,-3.08318
86,7.68578,18.9609,-2.93318
87,7.20694,18.8189,-2.77318
88,6.758,18.6001,-2.60318
89,6.35406,18.3066,-2.42318
90,6.01107,17.9438,-2.23318
91,5.68438,17.5656,-2.33318
92,5.32326,17.22,-2.42318
93,4.93408,16.9063,-2.50318
94,4.52246,16.6226,-2.57318
95,4.09327,16.3663,-2.63318
96,3.6506,16.1339,-2.68318
97,3.19792,15.9217,-2.72318
98,2.73807,15.7254,-2.75318
99,2.27346,15.5407,-2.77318
100,1.80611,15.363,-2.78318
101,1.33788,15.1876,-2.78318
102,0.870541,15.0098,-2.77318
103,0.405923,14.8251,-2.75318
104,-0.0539235,14.6288,-2.72318
105,-0.506607,14.4166,-2.68318
106,-0.949268,14.1842,-2.63318
107,-1.37847,13.9279,-2.57318
108,-1.79009,13.6442,-2.50318
109,-2.17927,13.3305,-2.42318
110,-2.54039,12.985,-2.33318
111,-2.86707,12.6067,-2.23318
112,-3.15229,12.1963,-2.12318
113,-3.38851,11.756,-2.00318
114,-3.56798,11.2897,-1.87318
115,-3.68303,10.8035,-1.73318
116,-3.72663,10.3059,-1.58318
117,-3.69289,9.80759,-1.42318
118,-3.57776,9.32164,-1.25318
119,-3.37982,8.86322,-1.07318
120,-3.10098,8.44911,-0.883184
121,-2.80346,8.04751,-0.983184
122,-2.54536,7.61948,-1.07318
123,-2.32452,7.17104,-1.15318
124,-2.13788,6.70729,-1.22318
125,-1.98176,6.23237,-1.28318
126,-1.85197,5.74956,-1.33318
127,-1.74403,5.26139,-1.37318
128,-1.65323,4.76972,-1.40318
129,-1.57475,4.27592,-1.42318
130,-1.50369,3.781,-1.43318
131,-1.4351,3.28573,-1.43318
132,-1.36403,2.79081,-1.42318
133,-1.28555,2.29701,-1.40318
134,-1.19476,1.80535,-1.37318
135,-1.08681,1.31717,-1.33318
136,-0.957026,0.834365,-1.28318
137,-0.800899,0.359444,-1.22318
138,-0.614265,-0.104308,-1.15318
139,-0.39342,-0.552744,-1.07318
140,-0.135319,-0.980781,-0.983184
141,0.162196,-1.38237,-0.883184
142,0.500133,-1.75054,-0.773184
143,0.878047,-2.07747,-0.653184
144,1.29373,-2.3547,-0.523184
145,1.74289,-2.57343,-0.383184
146,2.21889,-2.72495,-0.233184
147,2.71251,-2.80117,-0.0731842
148,3.21187,-2.79527,0.0968159
149,3.70251,-2.70253,0.276816
150,4.16764,-2.52114,0.466816
151,4.62464,-2.3188,0.366816
152,5.09881,-2.16071,0.276816
153,5.58473,-2.04344,0.196816
154,6.07809,-1.9629,0.126816
155,6.57568,-1.91458,0.0668159
156,7.07519,-1.89368,0.0168159
157,7.57515,-1.89527,-0.0231841
158,8.07477,-1.91435,-0.0531841
159,8.57376,-1.94593,-0.0731841
160,9.07224,-1.98498,-0.0831841
161,9.57051,-2.02652,-0.0831841
162,10.069,-2.06557,-0.0731841
163,10.568,-2.09714,-0.0531841
164,11.0676,-2.11623,-0.0231841
165,11.5676,-2.11782,0.0168159
166,12.0671,-2.09692,0.0668159
167,12.5646,-2.04859,0.126816
168,13.058,-1.96806,0.196816
169,13.5439,-1.85078,0.276816
170,14.0181,-1.69269,0.366816
171,14.4751,-1.49035,0.466816
172,14.9083,-1.24125,0.576816
173,15.3101,-0.944107,0.696816
174,15.6716,-0.599231,0.826816
175,15.9834,-0.208879,0.966816
176,16.2355,0.222378,1.11682
177,16.418,0.687322,1.27682
178,16.5216,1.17585,1.44682
179,16.5386,1.67489,1.62682
180,16.4634,2.16846,1.81682
181,16.3661,2.65868,1.71682
182,16.3157,3.15596,1.62682
183,16.3077,3.65576,1.54682
184,16.3372,4.15479,1.47682
185,16.399,4.65088,1.41682
186,16.488,5.14284,1.36682
187,16.599,5.63032,1.32682
188,16.7271,6.11363,1.29682
189,16.8672,6.59359,1.27682
190,17.0144,7.07141,1.26682
191,17.1641,7.54848,1.26682
192,17.3114,8.0263,1.27682
193,17.4515,8.50627,1.29682
194,17.5795,8.98957,1.32682
195,17.6905,9.47705,1.36682
196,17.7795,9.96901,1.41682
197,17.8414,10.4651,1.47682
198,17.8708,10.9641,1.54682
199,17.8628,11.4639,1.62682
200,17.8124,11.9612,1.71682
201,17.7151,12.4514,1.81682
202,17.5669,12.9287,1.92682
203,17.365,13.3858,2.04682
204,17.1076,13.8141,2.17682
205,16.795,14.2038,2.31682
206,16.4295,14.5442,2.46682
207,16.0158,14.8241,2.62682
208,15.5618,15.0322,2.79682
209,15.0786,15.158,2.97682
210,14.5806,15.1928,-3.11637
211,14.0809,15.2052,3.06682
212,13.5847,15.2649,2.97682
213,13.0952,15.3666,2.89682
214,12.6148,15.5046,2.82682
215,12.1443,15.6736,2.76682
216,11.6838,15.8682,2.71682
217,11.2324,16.0833,2.67682
218,10.7889,16.3141,2.64682
219,10.3513,16.5559,2.62682
220,9.9173,16.8042,2.61682
221,9.48458,17.0547,2.61682
222,9.05062,17.303,2.62682
223,8.61298,17.5448,2.64682
224,8.16945,17.7756,2.67682
225,7.71813,17.9907,2.71682
226,7.2576,18.1853,2.76682
227,6.7871,18.3543,2.82682
228,6.30664,18.4923,2.89682
229,5.81721,18.594,2.97682
230,5.32096,18.6537,3.06682
231,4.82133,18.6661,-3.11637
232,4.32319,18.626,-3.00637
233,3.83298,18.5291,-2.88637
234,3.35873,18.3718,-2.75637
235,2.91001,18.1522,-2.61637
236,2.4978,17.87,-2.46637
237,2.13413,17.5277,-2.30637
238,1.83167,17.1303,-2.13637
239,1.60305,16.6864,-1.95637
240,1.46002,16.208,-1.76637
241,1.33851,15.7232,-1.86637
242,1.17156,15.2521,-1.95637
243,0.965192,14.7968,-2.03637
244,0.725278,14.3583,-2.10637
245,0.457369,13.9362,-2.16637
246,0.166649,13.5295,-2.21637
247,-0.142084,13.1362,-2.25637
248,-0.464399,12.754,-2.28637
249,-0.796174,12.3799,-2.30637
250,-1.13353,12.0109,-2.31637
251,-1.47272,11.6435,-2.31637
252,-1.81008,11.2745,-2.30637
253,-2.14185,10.9005,-2.28637
254,-2.46417,10.5182,-2.25637
255,-2.7729,10.125,-2.21637
256,-3.06362,9.71825,-2.16637
257,-3.33153,9.29617,-2.10637
258,-3.57144,8.8576,-2.03637
259,-3.77781,8.40232,-1.95637
260,-3.94477,7.9312,-1.86637
261,-4.06627,7.4464,-1.76637
262,-4.13629,6.95159,-1.65637
263,-4.14907,6.45205,-1.53637
264,-4.09947,5.95487,-1.40637
265,-3.98342,5.46894,-1.26637
266,-3.7984,5.00494,-1.11637
267,-3.544,4.57512,-0.956368
268,-3.22249,4.19297,-0.786368
269,-2.83942,3.87269,-0.606368
270,-2.40404,3.62837,-0.416368
271,-1.95762,3.40364,-0.516368
272,-1.5345,3.13756,-0.606368
273,-1.13547,2.83649,-0.686368
274,-0.760094,2.50636,-0.756368
275,-0.406937,2.15251,-0.816368
276,-0.0737498,1.77977,-0.866368
277,0.242344,1.39241,-0.906368
278,0.544699,0.994209,-0.936368
279,0.83701,0.588568,-0.956368
280,1.12321,0.178583,-0.966368
281,1.40735,-0.23283,-0.966368
282,1.69355,-0.642815,-0.956368
283,1.98586,-1.04846,-0.936368
284,2.28822,-1.44666,-0.906368
285,2.60431,-1.83402,-0.866368
286,2.9375,-2.20676,-0.816368
287,3.29066,-2.5606,-0.756368
288,3.66603,-2.89074,-0.686368
289,4.06506,-3.19181,-0.606368
290,4.48818,-3.45789,-0.516368
